id,name,created_at
2,Rock,2022-12-22 13:37:23.680641+00
3,Alternative,2022-12-22 13:37:39.65193+00
4,Electronic,2023-01-04 10:07:18.786904+00
1,Pop,2022-12-22 13:37:09.832956+00
